"Txn Hash","Blockno","UnixTimestamp","Date Time (UTC)","Action","Amount (Out)","Token (Out)","Amount (In)","Token (In)","Swapped Rate","Swapped Pair","DEX"
"0x75032ce696d57208fea6e7bf5ab30712f4b99201ab2f8aeff10ef577f179e0ae","16730073",1677628823,2023-03-01 00:00:23,Sell,8723.17022007971, ZRX, 1.38520069101401, ETH,0.00015880,ETH per ZRX,Uniswap V3
"0x8411bbac1489be912be117e5b6fa6bf5382570e16f940b4e94324c463601921e","16730073",1677628823,2023-03-01 00:00:23,Buy,0.01685125, ETH, 62.42553679, SILK,0.00026994,ETH per SILK,Uniswap V3
"0x3a18af047fed3c45f6a42bdcdad991dd4618c422e69d8d38dc266163da014e74","16730073",1677628823,2023-03-01 00:00:23,Sell,1.94003563949779, LEASH, 0.70034535231497, ETH,0.36099613,ETH per LEASH,Uniswap V2
"0x3a18af047fed3c45f6a42bdcdad991dd4618c422e69d8d38dc266163da014e74","16730073",1677628823,2023-03-01 00:00:23,Sell,0.70034535231497, ETH, 1122.771778, USDC,1,603.16874280,USDC per ETH,Uniswap V2
"0x48a4631d323b0eec5ea20030335b389563a769420e1f814b99cda5bc706a5da5","16730073",1677628823,2023-03-01 00:00:23,Buy,0.0389739254625215, ETH, 30, AllIn,0.00129913,ETH per AllIn,Uniswap V2
"0x103d0cff85894d53878ea5a451e8f91fd78551b3bf0694875e0929dcd3b083e6","16730073",1677628823,2023-03-01 00:00:23,Buy,2697.427473, USDC, 1.6808097616665, ETH,1,604.83805754,USDC per ETH,Uniswap V3
"0x103d0cff85894d53878ea5a451e8f91fd78551b3bf0694875e0929dcd3b083e6","16730073",1677628823,2023-03-01 00:00:23,Buy,1.6808097616665, ETH, 784.950573579457, AURA,0.00214129,ETH per AURA,Uniswap V3
"0xc1aa4984ff0a5188417dcfec66b7178ed55edcab5b7c7d2c7bea103d0e1027dd","16730073",1677628823,2023-03-01 00:00:23,Buy,0.0490266272726756, ETH, 420, LOOKS,0.00011673,ETH per LOOKS,Uniswap V2
"0x0fa97e437466814e6dca3fb78b47f92e6c389550d7ad885410c226861cb617de","16730073",1677628823,2023-03-01 00:00:23,Sell,1603.11756, IPISTR, 91.830301, USDT,0.05728232,USDT per IPISTR,Uniswap V3
"0x36bb281e035fecc9ea0f74d6fb99369f8b46adbd154e1c8cc2923f613e1ba18f","16730073",1677628823,2023-03-01 00:00:23,Buy,700, USDC, 0.436053596262174, ETH,1,605.30725122,USDC per ETH,Uniswap V3
"0xd1b783060f4af824ab6ed5720c158e668847ebf44d235f62928fd789fa376976","16730073",1677628823,2023-03-01 00:00:23,Buy,0.681165351846112, ETH, 5188.49997284633, GETH,0.00013128,ETH per GETH,Uniswap V3
"0xd05007933aad387dbc0d57800e3909a2d364e5b1b0b14a213c333bcefaa5da92","16730073",1677628823,2023-03-01 00:00:23,Sell,0.08822125, ETH, 141.429555, USDC,1,603.12345382,USDC per ETH,Uniswap V2
"0xd05007933aad387dbc0d57800e3909a2d364e5b1b0b14a213c333bcefaa5da92","16730073",1677628823,2023-03-01 00:00:23,Buy,141.429555, USDC, 37.028756798871, MASK,3.81945189,USDC per MASK,Uniswap V2
"0x29dffbbdfdc5277b5573a1ea73fdcbcf6e9768cbea4fd310b37e617bca9df6bc","16730073",1677628823,2023-03-01 00:00:23,Sell,3790.794666384, REN, 0.257908821009659, ETH,0.00006804,ETH per REN,Uniswap V2
"0x8a0c74b7da235586bf515f4cd35f130701605dd27417641564b961dafd209649","16730074",1677628835,2023-03-01 00:00:35,Buy,4.45579511865223, ETH, 14466.16043714, AGIX,0.00030802,ETH per AGIX,Uniswap V3
"0x56bc51ceb34866a8928fa9b8605426467b9f42ce3465c269b75ea68d6b006629","16730074",1677628835,2023-03-01 00:00:35,Sell,13948.758, IONX, 0.229506678040406, ETH,0.00001645,ETH per IONX,Uniswap V2
"0xf001e131aaddda422d4146dd635c0b39f7e33d25fb2677f4da5a1cb2dd3a524f","16730074",1677628835,2023-03-01 00:00:35,Buy,1.02922075718673, ETH, 3342.0151195, AGIX,0.00030796,ETH per AGIX,Uniswap V2
"0xf5016bd6d734e6c23130963840e82eba477282ab4871df5456a828ab7144760b","16730074",1677628835,2023-03-01 00:00:35,Buy,0.0356, ETH, 100.108876036009, 1INCH,0.00035561,ETH per 1INCH,Uniswap V2
"0xcf9c426c1c49004c2777801ce3a7d73cf464bd3b242d94bf63e9318f28dae458","16730074",1677628835,2023-03-01 00:00:35,Sell,1061924221.91438, EGGS, 2.78792162113541, ETH,0.00000000,ETH per EGGS,Uniswap V2
"0x66efc5e2fb12ffa1d27644390ff968431a84ab1b073e61de8d5463266362c38a","16730074",1677628835,2023-03-01 00:00:35,Buy,1884.29595406461, DAI, 1.17330929085725, ETH,1,605.96695922,DAI per ETH,Uniswap V3
"0x66efc5e2fb12ffa1d27644390ff968431a84ab1b073e61de8d5463266362c38a","16730074",1677628835,2023-03-01 00:00:35,Buy,1517.387611, USDC, 0.945230017801342, ETH,1,605.31043495,USDC per ETH,Uniswap V3
"0x66efc5e2fb12ffa1d27644390ff968431a84ab1b073e61de8d5463266362c38a","16730074",1677628835,2023-03-01 00:00:35,Buy,394.685696, USDC, 0.01710277, WBTC,23,077.29660166,USDC per WBTC,Uniswap V3
"0x66efc5e2fb12ffa1d27644390ff968431a84ab1b073e61de8d5463266362c38a","16730074",1677628835,2023-03-01 00:00:35,Sell,24.9361288178084, LUSD, 0.015811540997004, ETH,0.00063408,ETH per LUSD,Uniswap V2
